dataset,horizon_min,model,C_u_over_C_o,total_cost_dollars,cost_waste_dollars,cost_violation_dollars,cost_per_vcpu_month,violation_rate,waste_rate,mean_violation_pp,mean_waste_pp,savings_vs_naive_dollars,savings_vs_naive_pct,n_timesteps
ByteDance,60,hetero_ensemble,1,17.43073355965305,8.44614058183624,8.984592977816812,1.1802998366359632,0.5131352080002508,0.4868647919997492,1.7603594504954725,1.6548599842150693,0.765593649819607,4.207407577398661,63798
ByteDance,60,homo_ensemble,1,17.413576132283943,8.418482694473033,8.99509343781091,1.1791380433785799,0.511254271293771,0.488745728706229,1.7624168151452453,1.6494409492603674,0.7827510771887134,4.301698184352436,63798
ByteDance,60,xgboost,1,16.21027946472168,7.986956596374512,8.223322868347168,1.0976582765579224,0.4898899652026709,0.5101100347973291,1.6112031936645508,1.5648915767669678,1.9860477447509766,10.914552688598633,63798
ByteDance,60,lightgbm,1,18.27098861335469,8.983128038285152,9.287860575069539,1.2371966332752165,0.5062070911313834,0.4902818270165209,1.8197789458661593,1.760072423564444,-0.07466140388203257,-0.41031029516311013,63798
ByteDance,60,extratrees,1,14.54537385879388,7.290406672857255,7.254967185936625,0.984921393617191,0.4926956957898367,0.5056898335371015,1.4214723004515473,1.4284159912648622,3.650953350678776,20.064232241208327,63798
ByteDance,60,bilstm,1,,,,,0.45523370638578015,0.544593874416126,,,,,63798
ByteDance,60,linear_reg,1,18.05851173400879,9.318090438842773,8.740421295166016,1.222809076309204,0.47559484623342424,0.5244051537665757,1.7125186920166016,1.8257015943527222,0.1378154754638672,0.7573807239532471,63798
ByteDance,60,naive,2,27.36691665649414,9.025737762451172,18.34117889404297,1.8531157970428467,0.4868647919997492,0.4829775228063576,1.7968018054962158,1.768420934677124,0.0,0.0,63798
ByteDance,60,hetero_ensemble,2,26.415326537469863,8.44614058183624,17.969185955633623,1.7886800627271986,0.5131352080002508,0.4868647919997492,1.7603594504954725,1.6548599842150693,0.9515901190242779,3.4771550298066427,63798
ByteDance,60,homo_ensemble,2,26.40866957009485,8.418482694473033,17.99018687562182,1.7882292946927765,0.511254271293771,0.488745728706229,1.7624168151452453,1.6494409492603674,0.9582470863992896,3.5014799015434517,63798
